venue,innings,batting_team,bowling_team,bat1,bat2,bat3,bat4,bat5,bat6,bat7,bat8,bat9,bat10,bow1,bow2,bow3,bow4,bow5,bow6,runs_off_bat,extras,Total_score,player_dismissed
21,1,2,4,207,166,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,132.0,0.0,0.0,0.0,58,2,60,1
21,2,4,2,242,448,386.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,65,166,489.0,408.0,0.0,0.0,36,3,39,2
14,1,6,5,395,351,251.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,443,463,288.0,0.0,0.0,0.0,55,2,57,2
14,2,5,6,144,262,506.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,326,512,359.0,0.0,0.0,0.0,43,2,45,2
15,1,3,0,419,70,385.0,498.0,115.0,0.0,0.0,0.0,0.0,0.0,184,296,324.0,0.0,0.0,0.0,60,1,61,3
15,2,0,3,331,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,20.0,0.0,0.0,0.0,35,10,45,0
5,1,4,7,242,448,40.0,386.0,433.0,0.0,0.0,0.0,0.0,0.0,376,125,415.0,456.0,0.0,0.0,23,4,27,3
5,2,7,4,26,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,433,132.0,448.0,421.0,0.0,58,2,60,0
21,1,1,2,142,485,396.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,65,166,408.0,489.0,0.0,0.0,41,4,45,3
21,2,2,1,207,432,216.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,275.0,0.0,0.0,0.0,53,2,55,2
14,1,0,6,331,286,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,0.0,0.0,0.0,33,3,36,1
14,2,6,0,61,496,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,296,0.0,0.0,0.0,0.0,43,2,45,1
8,1,3,4,70,419,385.0,109.0,115.0,0.0,0.0,0.0,0.0,0.0,433,10,101.0,132.0,112.0,0.0,39,1,40,3
8,2,4,3,40,448,284.0,386.0,112.0,0.0,0.0,0.0,0.0,0.0,20,163,22.0,0.0,0.0,0.0,35,3,38,3
9,1,1,6,142,485,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,0.0,0.0,0.0,55,3,58,1
9,2,6,1,326,251,496.0,187.0,351.0,0.0,0.0,0.0,0.0,0.0,146,302,493.0,0.0,0.0,0.0,53,2,55,3
22,1,7,2,26,492,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,166,489.0,0.0,0.0,0.0,48,2,50,1
22,2,2,7,424,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,125,456.0,415.0,0.0,0.0,41,0,41,1
24,1,5,3,144,413,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,20.0,482.0,0.0,0.0,40,5,45,1
24,2,3,5,453,419,20.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,443,463,427.0,0.0,0.0,0.0,45,6,51,3
15,1,0,1,331,438,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,493.0,336.0,0.0,0.0,44,3,47,1
15,2,1,0,142,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,178.0,0.0,0.0,0.0,62,2,64,0
22,1,7,6,26,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,135,187.0,0.0,0.0,0.0,32,9,41,0
22,2,6,7,187,496,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,376,415.0,127.0,0.0,0.0,41,2,43,1
21,1,2,3,424,201,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,20,22.0,0.0,0.0,0.0,46,3,49,1
21,2,3,2,303,419,76.0,109.0,250.0,115.0,0.0,0.0,0.0,0.0,408,166,0.0,0.0,0.0,0.0,25,6,31,4
5,1,4,1,508,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,493.0,0.0,0.0,0.0,48,2,50,2
5,2,1,4,142,485,396.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,112.0,0.0,0.0,0.0,37,0,37,2
24,1,0,5,331,411,438.0,426.0,394.0,295.0,0.0,0.0,0.0,0.0,463,443,288.0,427.0,0.0,0.0,32,6,38,4
24,2,5,0,144,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,0.0,0.0,0.0,0.0,42,2,44,0
14,1,6,2,496,97,187.0,483.0,351.0,0.0,0.0,0.0,0.0,0.0,408,166,152.0,0.0,0.0,0.0,23,3,26,3
14,2,2,6,424,201,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,187.0,0.0,0.0,43,9,52,1
15,1,0,7,331,391,438.0,426.0,394.0,0.0,0.0,0.0,0.0,0.0,127,376,417.0,0.0,0.0,0.0,26,8,34,3
15,2,7,0,26,156,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,178.0,0.0,0.0,0.0,49,1,50,1
5,1,5,4,144,413,506.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,132.0,0.0,0.0,0.0,48,0,48,2
5,2,4,5,508,448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,288,427.0,0.0,0.0,0.0,30,4,34,0
9,1,1,0,142,485,24.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,296,178,0.0,0.0,0.0,0.0,47,3,50,2
9,2,0,1,411,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,493.0,336.0,0.0,0.0,58,4,62,0
8,1,3,6,2,76,419.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,359.0,0.0,0.0,39,2,41,2
8,2,6,3,172,395,297.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,482.0,419.0,0.0,0.0,33,2,35,2
24,1,7,5,26,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,443,288.0,0.0,0.0,0.0,48,2,50,0
24,2,5,7,144,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,376,417.0,340.0,0.0,0.0,48,2,50,0
14,1,6,4,297,439,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,101.0,0.0,0.0,0.0,36,0,36,2
14,2,4,6,448,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,135,326.0,359.0,0.0,0.0,30,9,39,0
15,1,0,2,411,426,438.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,408,166,489.0,0.0,0.0,0.0,45,8,53,2
15,2,2,0,424,201,207.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,296,178,0.0,0.0,0.0,0.0,35,0,35,2
22,1,3,7,453,419,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,127,417.0,376.0,0.0,0.0,43,0,43,1
22,2,7,3,26,156,110.0,417.0,368.0,0.0,0.0,0.0,0.0,0.0,22,163,482.0,0.0,0.0,0.0,50,5,55,3
24,1,1,5,142,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,443,288.0,0.0,0.0,0.0,43,4,47,1
24,2,5,1,506,144,255.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,146,275,336.0,0.0,0.0,0.0,14,7,21,2
21,1,6,2,172,483,300.0,351.0,97.0,0.0,0.0,0.0,0.0,0.0,408,166,339.0,0.0,0.0,0.0,44,6,50,3
21,2,2,6,424,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,0.0,0.0,0.0,40,2,42,0
8,1,3,1,453,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,336,493.0,0.0,0.0,0.0,31,4,35,1
8,2,1,3,142,485,24.0,285.0,475.0,396.0,0.0,0.0,0.0,0.0,460,163,22.0,0.0,0.0,0.0,35,2,37,4
32,1,0,4,411,438,426.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,112.0,0.0,0.0,0.0,28,0,28,2
32,2,4,0,448,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,178,0.0,0.0,0.0,0.0,70,8,78,0
21,1,2,5,424,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,443,344.0,0.0,0.0,0.0,49,2,51,0
21,2,5,2,255,321,510.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,166,408,201.0,0.0,0.0,0.0,37,1,38,2
9,1,1,7,142,485,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,376,338.0,0.0,0.0,0.0,45,3,48,1
9,2,7,1,26,456,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,275.0,0.0,0.0,0.0,68,3,71,1
32,1,3,4,453,2,419.0,115.0,303.0,0.0,0.0,0.0,0.0,0.0,433,10,112.0,0.0,0.0,0.0,22,5,27,3
32,2,4,3,448,442,386.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,460,163,20.0,0.0,0.0,0.0,58,10,68,2
9,1,1,2,142,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,166,489.0,0.0,0.0,0.0,63,5,68,0
9,2,2,1,424,201,511.0,244.0,128.0,0.0,0.0,0.0,0.0,0.0,146,336,7.0,485.0,0.0,0.0,71,2,73,3
24,1,5,6,144,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,326,187.0,0.0,0.0,0.0,43,8,51,0
24,2,6,5,172,483,300.0,187.0,97.0,0.0,0.0,0.0,0.0,0.0,463,288,0.0,0.0,0.0,0.0,20,3,23,3
22,1,4,7,448,442,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,125,503.0,376.0,0.0,0.0,56,1,57,1
22,2,7,4,26,456,368.0,503.0,249.0,0.0,0.0,0.0,0.0,0.0,10,112,101.0,381.0,0.0,0.0,29,3,32,3
8,1,3,0,453,303,419.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,0.0,0.0,0.0,0.0,31,4,35,2
8,2,0,3,331,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,163,22.0,20.0,0.0,0.0,40,3,43,0
14,1,6,1,187,61,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,336,493.0,0.0,0.0,0.0,33,8,41,1
14,2,1,6,142,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,187.0,0.0,0.0,61,10,71,0
8,1,3,5,453,303,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,288,443.0,0.0,0.0,0.0,28,4,32,1
8,2,5,3,144,413,463.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,20.0,482.0,0.0,0.0,42,0,42,3
32,1,2,4,424,201,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,491.0,0.0,0.0,0.0,42,1,43,1
32,2,4,2,448,442,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,166,489.0,0.0,0.0,0.0,56,12,68,1
15,1,6,0,187,439,483.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,0.0,0.0,0.0,0.0,22,1,23,2
15,2,0,6,331,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,326,6.0,187.0,0.0,0.0,37,7,44,0
21,1,7,2,26,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,489,380.0,0.0,0.0,0.0,40,2,42,0
21,2,2,7,424,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,127,503.0,417.0,0.0,0.0,74,0,74,0
9,1,4,1,448,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,62,275.0,493.0,0.0,0.0,59,1,60,0
9,2,1,4,142,485,396.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,11.0,132.0,0.0,0.0,56,0,56,2
15,1,5,0,144,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,178.0,0.0,0.0,0.0,62,5,67,0
15,2,0,5,331,438,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,506,288.0,344.0,0.0,0.0,63,2,65,1
14,1,6,7,61,496,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,376,417.0,456.0,0.0,0.0,44,2,46,1
14,2,7,6,26,492,156.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,135,512,326.0,0.0,0.0,0.0,31,2,33,2
8,1,2,3,424,201,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482,163,69.0,0.0,0.0,0.0,39,8,47,1
8,2,3,2,453,419,109.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,166,408,380.0,0.0,0.0,0.0,49,2,51,2
24,1,4,5,448,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,443,344.0,506.0,0.0,0.0,26,3,29,0
24,2,5,4,234,413,506.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,101.0,0.0,0.0,0.0,32,4,36,2
22,1,7,0,26,156,417.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,0.0,0.0,0.0,0.0,25,1,26,2
22,2,0,7,331,438,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,127,456.0,0.0,0.0,0.0,40,4,44,1
32,1,5,1,144,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,493.0,0.0,0.0,0.0,57,1,58,0
32,2,1,5,142,485,396.0,285.0,475.0,0.0,0.0,0.0,0.0,0.0,463,443,288.0,0.0,0.0,0.0,23,5,28,3
32,1,2,0,424,201,216.0,511.0,128.0,166.0,0.0,0.0,0.0,0.0,259,260,296.0,0.0,0.0,0.0,34,1,35,4
32,2,0,2,331,411,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,408,380.0,489.0,0.0,0.0,33,2,35,1
5,1,0,5,331,411,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463,443,288.0,506.0,0.0,0.0,40,2,42,1
5,2,5,0,321,413,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,296,0.0,0.0,0.0,0.0,36,5,41,1
19,1,4,0,448,442,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,470,5.0,0.0,0.0,0.0,39,1,40,1
19,2,0,4,331,426,286.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,429,512,112.0,0.0,0.0,0.0,33,7,40,2
19,1,6,5,182,251,230.0,386.0,351.0,0.0,0.0,0.0,0.0,0.0,29,235,288.0,0.0,0.0,0.0,28,1,29,3
19,2,5,6,144,413,321.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,326,135,359.0,0.0,0.0,0.0,8,6,14,2
19,1,2,1,384,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,41,336.0,493.0,0.0,0.0,60,7,67,1
19,2,1,2,142,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,504,490.0,489.0,339.0,0.0,53,5,58,0
19,1,3,7,70,89,419.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,140,376,161.0,0.0,0.0,0.0,18,3,21,3
19,2,7,3,26,156,492.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,0.0,0.0,0.0,0.0,37,0,37,2
28,1,0,6,331,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,135,187.0,359.0,0.0,0.0,66,2,68,0
28,2,6,0,326,187,386.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,296,240,178.0,0.0,0.0,0.0,42,4,46,2
13,1,2,3,384,207,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,22,270.0,0.0,0.0,0.0,46,0,46,1
13,2,3,2,70,89,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,504,490.0,0.0,0.0,0.0,56,4,60,1
19,1,7,6,26,156,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,135,187.0,0.0,0.0,0.0,56,6,62,1
19,2,6,7,182,187,386.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,140,376,161.0,0.0,0.0,0.0,29,2,31,2
13,1,1,0,142,24,485.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,240,296,178.0,5.0,0.0,0.0,59,0,59,2
13,2,0,1,331,286,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,41.0,336.0,0.0,0.0,55,6,61,1
19,1,5,3,144,333,371.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,163,56,20.0,0.0,0.0,0.0,52,2,54,2
19,2,3,5,89,70,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,29,0.0,0.0,0.0,0.0,35,3,38,1
13,1,6,2,182,386,187.0,230.0,351.0,0.0,0.0,0.0,0.0,0.0,378,166,504.0,0.0,0.0,0.0,48,1,49,3
13,2,2,6,384,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,344,187.0,359.0,0.0,0.0,34,10,44,0
13,1,7,4,26,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429,512,112.0,160.0,0.0,0.0,50,5,55,0
13,2,4,7,448,442,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,376,161.0,0.0,0.0,0.0,43,7,50,1
28,1,6,1,187,230,386.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,336.0,0.0,0.0,0.0,42,3,45,2
28,2,1,6,142,485,475.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,359,344,187.0,0.0,0.0,0.0,42,1,43,2
19,1,2,5,384,216,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,29,288.0,506.0,0.0,0.0,32,6,38,2
19,2,5,2,413,144,371.0,506.0,29.0,360.0,0.0,0.0,0.0,0.0,380,166,504.0,489.0,0.0,0.0,29,3,32,4
13,1,0,7,331,426,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,376,131.0,503.0,0.0,0.0,58,4,62,1
13,2,7,0,26,156,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,296,178.0,259.0,426.0,0.0,67,2,69,1
28,1,4,3,448,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,22,419.0,0.0,0.0,0.0,53,8,61,0
28,2,3,4,70,89,76.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,512,429,112.0,160.0,0.0,0.0,43,4,47,2
30,1,1,5,142,485,24.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,29,235,288.0,0.0,0.0,0.0,41,1,42,3
30,2,5,1,371,144,413.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,336.0,0.0,0.0,0.0,30,3,33,2
13,1,3,6,70,76,89.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,230,366,344.0,326.0,6.0,0.0,39,6,45,2
13,2,6,3,187,439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,20,256.0,89.0,0.0,0.0,41,5,46,0
13,1,2,4,384,207,216.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,512,429,160.0,112.0,0.0,0.0,24,2,26,2
13,2,4,2,448,396,442.0,197.0,112.0,0.0,0.0,0.0,0.0,0.0,166,490,380.0,504.0,0.0,0.0,20,3,23,3
30,1,7,1,26,156,16.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,336.0,0.0,0.0,0.0,36,1,37,2
30,2,1,7,142,485,24.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,140,376,459.0,0.0,0.0,0.0,38,3,41,2
30,1,0,5,331,286,426.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,29,506,0.0,0.0,0.0,0.0,40,0,40,2
30,2,5,0,371,144,413.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,410,178,184.0,0.0,0.0,0.0,33,5,38,2
3,1,4,3,448,442,160.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,163,22,250.0,256.0,0.0,0.0,34,6,40,2
3,2,3,4,89,419,76.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,512,150,160.0,429.0,0.0,0.0,25,1,26,2
13,1,6,2,182,349,439.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,166,490,504.0,0.0,0.0,0.0,37,1,38,2
13,2,2,6,511,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,187,182.0,0.0,0.0,0.0,34,1,35,0
28,1,7,5,156,26,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,288,360.0,431.0,0.0,0.0,38,1,39,2
28,2,5,7,144,413,243.0,320.0,360.0,0.0,0.0,0.0,0.0,0.0,140,376,131.0,0.0,0.0,0.0,28,2,30,3
18,1,0,1,264,286,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,336.0,0.0,0.0,0.0,50,3,53,2
18,2,1,0,142,107,24.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,178,410,0.0,0.0,0.0,0.0,47,2,49,2
28,1,3,2,70,89,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,166,504.0,490.0,0.0,0.0,26,2,28,1
28,2,2,3,407,216,432.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,163,22,89.0,20.0,0.0,0.0,48,3,51,2
18,1,4,6,448,442,40.0,197.0,112.0,0.0,0.0,0.0,0.0,0.0,326,187,105.0,0.0,0.0,0.0,22,3,25,3
18,2,6,4,187,496,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,112,429.0,39.0,0.0,0.0,48,3,51,1
3,1,0,7,264,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,376,131.0,368.0,0.0,0.0,50,3,53,0
3,2,7,0,26,492,156.0,368.0,131.0,0.0,0.0,0.0,0.0,0.0,178,410,240.0,0.0,0.0,0.0,49,3,52,3
13,1,5,2,320,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,166,408.0,504.0,0.0,0.0,56,1,57,0
13,2,2,5,407,207,216.0,432.0,128.0,0.0,0.0,0.0,0.0,0.0,13,431,506.0,427.0,0.0,0.0,24,5,29,4
13,1,3,1,291,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,7.0,336.0,0.0,0.0,51,3,54,0
13,2,1,3,142,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,22,270.0,76.0,0.0,0.0,55,2,57,0
30,1,7,4,26,156,474.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,429,132,160.0,112.0,0.0,0.0,32,5,37,2
30,2,4,7,448,442,197.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,369,376,161.0,131.0,0.0,0.0,39,2,41,2
30,1,6,5,187,496,386.0,351.0,483.0,0.0,0.0,0.0,0.0,0.0,13,258,288.0,243.0,0.0,0.0,26,3,29,3
30,2,5,6,144,320,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,187,105.0,0.0,0.0,0.0,31,0,31,1
30,1,0,2,394,426,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,408,504.0,489.0,0.0,0.0,56,1,57,1
30,2,2,0,407,207,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178,410,296.0,259.0,0.0,0.0,51,2,53,1
3,1,4,1,242,197,342.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,126,10,336.0,0.0,0.0,0.0,25,5,30,3
3,2,1,4,142,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429,132,0.0,0.0,0.0,0.0,32,4,36,0
4,1,7,2,26,156,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,166,408.0,0.0,0.0,0.0,50,2,52,1
4,2,2,7,407,432,216.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,369,376,459.0,368.0,503.0,0.0,43,2,45,2
4,1,5,0,144,320,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178,410,240.0,184.0,0.0,0.0,33,1,34,1
4,2,0,5,264,286,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506,13,427.0,431.0,0.0,0.0,35,2,37,2
28,1,4,6,448,442,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,359,8.0,0.0,0.0,0.0,40,6,46,1
28,2,6,4,187,483,386.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,132,429,112.0,0.0,0.0,0.0,36,3,39,2
18,1,3,1,70,76,419.0,291.0,509.0,0.0,0.0,0.0,0.0,0.0,10,126,336.0,0.0,0.0,0.0,33,4,37,3
18,2,1,3,142,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,270,20.0,446.0,76.0,0.0,40,7,47,0
4,1,7,5,474,26,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,288,506.0,427.0,0.0,0.0,41,1,42,2
